,close,high,low,open,volume
2018-12-31 15:49:20+00:00,67.16,67.16,67.15,67.15,5
2018-12-31 15:49:30+00:00,67.13,67.16,67.13,67.15,13
2018-12-31 15:49:40+00:00,67.15,67.15,67.14,67.14,3
2018-12-31 15:49:50+00:00,67.17,67.17,67.15,67.15,29
2018-12-31 15:50:00+00:00,67.19,67.19,67.16,67.17,24
2018-12-31 15:50:10+00:00,67.21,67.22,67.18,67.19,17
2018-12-31 15:50:20+00:00,67.22,67.23,67.22,67.22,13
2018-12-31 15:50:30+00:00,67.23,67.23,67.21,67.22,21
2018-12-31 15:50:40+00:00,67.23,67.23,67.23,67.23,11
2018-12-31 15:50:50+00:00,67.22,67.23,67.22,67.23,28
2018-12-31 15:51:00+00:00,67.21,67.22,67.2,67.21,42
2018-12-31 15:51:10+00:00,67.18,67.22,67.18,67.22,40
2018-12-31 15:51:20+00:00,67.17,67.19,67.17,67.19,43
2018-12-31 15:51:30+00:00,67.16,67.18,67.15,67.16,6
2018-12-31 15:51:40+00:00,67.17,67.17,67.15,67.17,13
2018-12-31 15:51:50+00:00,67.18,67.18,67.16,67.17,20
2018-12-31 15:52:00+00:00,67.21,67.22,67.17,67.17,41
2018-12-31 15:52:10+00:00,67.19,67.21,67.19,67.21,27
2018-12-31 15:52:20+00:00,67.21,67.21,67.19,67.19,30
2018-12-31 15:52:30+00:00,67.23,67.23,67.21,67.22,15
2018-12-31 15:52:40+00:00,67.2,67.23,67.2,67.23,36
2018-12-31 15:52:50+00:00,67.18,67.19,67.18,67.19,16
2018-12-31 15:53:00+00:00,67.17,67.18,67.17,67.17,22
2018-12-31 15:53:10+00:00,67.16,67.16,67.15,67.15,14
2018-12-31 15:53:20+00:00,67.15,67.16,67.14,67.15,24
2018-12-31 15:53:30+00:00,67.13,67.14,67.12,67.14,14
2018-12-31 15:53:40+00:00,67.12,67.13,67.11,67.13,11
2018-12-31 15:53:50+00:00,67.11,67.11,67.11,67.11,13
2018-12-31 15:54:00+00:00,67.08,67.12,67.08,67.11,29
2018-12-31 15:54:10+00:00,67.08,67.09,67.08,67.08,30
2018-12-31 15:54:20+00:00,67.07,67.08,67.05,67.08,37
2018-12-31 15:54:30+00:00,67.08,67.08,67.06,67.07,13
2018-12-31 15:54:40+00:00,67.07,67.08,67.07,67.08,19
2018-12-31 15:54:50+00:00,67.04,67.07,67.03,67.07,34
2018-12-31 15:55:00+00:00,67.15,67.15,67.04,67.04,143
2018-12-31 15:55:10+00:00,67.14,67.16,67.1,67.15,65
2018-12-31 15:55:20+00:00,67.21,67.21,67.15,67.15,23
2018-12-31 15:55:30+00:00,67.22,67.22,67.2,67.2,26
2018-12-31 15:55:40+00:00,67.24,67.26,67.21,67.23,48
2018-12-31 15:55:50+00:00,67.19,67.23,67.18,67.23,34
2018-12-31 15:56:00+00:00,67.11,67.19,67.1,67.19,94
2018-12-31 15:56:10+00:00,67.06,67.16,67.0,67.1,69
2018-12-31 15:56:20+00:00,67.01,67.06,66.99,67.05,65
2018-12-31 15:56:30+00:00,67.01,67.05,67.0,67.02,46
2018-12-31 15:56:40+00:00,66.93,67.01,66.91,67.01,24
2018-12-31 15:56:50+00:00,66.97,66.97,66.94,66.94,26
2018-12-31 15:57:00+00:00,66.99,66.99,66.96,66.96,12
2018-12-31 15:57:10+00:00,67.02,67.02,66.98,66.99,40
2018-12-31 15:57:20+00:00,66.93,67.02,66.92,67.02,69
2018-12-31 15:57:30+00:00,66.95,66.95,66.92,66.93,26
2018-12-31 15:57:40+00:00,66.99,67.0,66.96,66.96,35
2018-12-31 15:57:50+00:00,66.98,67.0,66.96,66.99,23
2018-12-31 15:58:00+00:00,66.99,66.99,66.96,66.97,45
2018-12-31 15:58:10+00:00,67.02,67.02,66.98,66.98,56
2018-12-31 15:58:20+00:00,67.0,67.01,66.98,67.01,36
2018-12-31 15:58:30+00:00,67.02,67.02,66.99,67.0,29
2018-12-31 15:58:40+00:00,67.02,67.03,67.0,67.01,29
2018-12-31 15:58:50+00:00,67.03,67.04,67.01,67.01,18
2018-12-31 15:59:00+00:00,67.09,67.09,67.04,67.04,41
2018-12-31 15:59:10+00:00,67.18,67.19,67.08,67.09,61
2018-12-31 15:59:20+00:00,67.24,67.24,67.19,67.19,39
2018-12-31 15:59:30+00:00,67.27,67.28,67.24,67.24,52
2018-12-31 15:59:40+00:00,67.32,67.32,67.27,67.28,79
2018-12-31 15:59:50+00:00,67.46,67.46,67.32,67.34,208
2019-01-02 09:30:00+00:00,66.45,66.45,66.45,66.45,1
2019-01-02 09:30:10+00:00,66.34,66.5,65.94,66.5,194
2019-01-02 09:30:20+00:00,66.35,66.42,66.34,66.34,9
2019-01-02 09:30:30+00:00,66.34,66.34,66.34,66.34,138
2019-01-02 09:30:40+00:00,66.34,66.34,66.2,66.21,9
2019-01-02 09:30:50+00:00,66.34,66.34,66.34,66.34,0
2019-01-02 09:31:00+00:00,66.33,66.34,66.33,66.34,3
2019-01-02 09:31:10+00:00,66.21,66.22,66.21,66.22,3
2019-01-02 09:31:20+00:00,66.21,66.21,66.21,66.21,0
2019-01-02 09:31:30+00:00,66.28,66.28,66.21,66.21,10
2019-01-02 09:31:40+00:00,66.28,66.28,66.27,66.28,0
2019-01-02 09:31:50+00:00,66.28,66.28,66.28,66.28,4
2019-01-02 09:32:00+00:00,66.37,66.38,66.3,66.33,24
2019-01-02 09:32:10+00:00,66.37,66.37,66.37,66.37,0
2019-01-02 09:32:20+00:00,66.3,66.42,66.3,66.42,19
2019-01-02 09:32:30+00:00,66.22,66.27,66.21,66.21,10
2019-01-02 09:32:40+00:00,66.21,66.21,66.19,66.2,98
2019-01-02 09:32:50+00:00,66.21,66.25,66.19,66.22,21
2019-01-02 09:33:00+00:00,66.24,66.24,66.14,66.14,26
2019-01-02 09:33:10+00:00,66.33,66.33,66.25,66.25,25
2019-01-02 09:33:20+00:00,66.36,66.39,66.33,66.33,33
2019-01-02 09:33:30+00:00,66.39,66.39,66.34,66.34,5
2019-01-02 09:33:40+00:00,66.46,66.46,66.38,66.46,4
2019-01-02 09:33:50+00:00,66.33,66.4,66.33,66.4,18
2019-01-02 09:34:00+00:00,66.38,66.38,66.33,66.33,6
2019-01-02 09:34:10+00:00,66.4,66.4,66.33,66.39,14
2019-01-02 09:34:20+00:00,66.39,66.41,66.36,66.41,8
2019-01-02 09:34:30+00:00,66.47,66.47,66.46,66.46,3
2019-01-02 09:34:40+00:00,66.41,66.47,66.41,66.47,17
2019-01-02 09:34:50+00:00,66.56,66.56,66.47,66.47,130
